algorithm,is_baseline,instance_id,size,power_pressure_class,repetition,makespan,best_known_makespan,best_naive_makespan,rpd,hit_bks,within_0_1pct,reached_0_1pct,time_to_0_1pct_s,evaluations_to_0_1pct,within_1pct,reached_1pct,time_to_1pct_s,evaluations_to_1pct,execution_time_s,time_overrun_s,solution_count,solutions_per_second,auc_rpd_time,termination_reason,hit_time_limit,profile_id,status
GA,False,n0100_i03,100,high,5,453.3746711329405,452.53477883339406,462.15894108510514,0.18559729303272768,False,False,False,,,True,True,1.1266089000273496,4623.0,150.0007184999995,0.0007184999994933605,587726,3918.1545653729786,0.25929263161888866,time_limit,True,run_b9ece1fb,ok
HPSO,False,n0100_i03,100,high,1,453.25646882815164,452.53477883339406,462.15894108510514,0.15947724429447246,False,False,False,,,True,True,0.31785440002568066,875.0,150.00059930002317,0.0005993000231683254,453864,3025.747911128045,0.17709431398844572,time_limit,True,run_b9ece1fb,ok
HPSO,False,n0100_i03,100,high,2,453.0716137717974,452.53477883339406,462.15894108510514,0.11862843774952662,False,False,False,,,True,True,0.5892960999626666,1801.0,150.0004955000477,0.0004955000476911664,455244,3034.949974547619,0.14294044049739946,time_limit,True,run_b9ece1fb,ok
HPSO,False,n0100_i03,100,high,3,453.30783345937846,452.53477883339406,462.15894108510514,0.17082767162720316,False,False,False,,,True,True,0.3931995000457391,1166.0,150.00051399995573,0.0005139999557286501,451600,3010.6563501517953,0.20024196714993805,time_limit,True,run_b9ece1fb,ok
HPSO,False,n0100_i03,100,high,4,453.14837566443816,452.53477883339406,462.15894108510514,0.13559108818683935,False,False,False,,,True,True,0.3674638000084087,1106.0,150.000581100001,0.0005811000009998679,444790,2965.2551792680824,0.15067064824829704,time_limit,True,run_b9ece1fb,ok
HPSO,False,n0100_i03,100,high,5,454.1311388016011,452.53477883339406,462.15894108510514,0.3527596204478118,False,False,False,,,True,True,0.2287849000422284,684.0,150.00100649998058,0.0010064999805763364,451840,3012.2464544933473,0.38266922101787443,time_limit,True,run_b9ece1fb,ok
LPT,True,n0100_i03,100,high,0,462.15894108510514,452.53477883339406,462.15894108510514,2.126723227001815,False,False,False,,,False,False,,,0.0002455000067129731,0.0,1,4073.3196442196117,,completed,False,run_b9ece1fb,ok
SIP,True,n0100_i03,100,high,0,472.6129835440168,452.53477883339406,462.15894108510514,4.436831299990485,False,False,False,,,False,False,,,0.0002563000889495015,0.0,1,3901.676367334499,,completed,False,run_b9ece1fb,ok
TS,False,n0100_i03,100,high,1,452.9621659803303,452.53477883339406,462.15894108510514,0.0944429393997177,False,True,True,51.76994679996278,199722.0,True,True,0.6819411999313161,2884.0,150.00039860000834,0.0003986000083386898,605756,4038.3626020575543,0.14527390830943085,time_limit,True,run_b9ece1fb,ok
TS,False,n0100_i03,100,high,2,453.16672177665555,452.53477883339406,462.15894108510514,0.1396451660335591,False,False,False,,,True,True,0.5446593000087887,2289.0,150.00073550001252,0.000735500012524426,604204,4028.0069160057524,0.15359223408993766,time_limit,True,run_b9ece1fb,ok
TS,False,n0100_i03,100,high,3,452.8086919860257,452.53477883339406,462.15894108510514,0.06052864121024071,False,True,True,34.80699379998259,131272.0,True,True,0.4279354999307543,1802.0,150.00055100000463,0.0005510000046342611,611847,4078.965016601713,0.10735195059442561,time_limit,True,run_b9ece1fb,ok
TS,False,n0100_i03,100,high,4,452.86997696645557,452.53477883339406,462.15894108510514,0.07407124241934064,False,True,True,24.782411299995147,87324.0,True,True,0.3606756000081077,1507.0,150.00038480001967,0.0003848000196740031,603803,4025.3430069862115,0.11315532021608438,time_limit,True,run_b9ece1fb,ok
TS,False,n0100_i03,100,high,5,452.53477883339406,452.53477883339406,462.15894108510514,0.0,True,True,True,40.81429869995918,149889.0,True,True,0.5017966999439523,1997.0,150.00043140002526,0.0004314000252634287,594482,3963.2019351639,0.06898898515159037,time_limit,True,run_b9ece1fb,ok
2PGA,False,n0100_i04,100,low,1,476.01968501408845,475.1972650401108,480.28427364604727,0.1730691724221633,False,False,False,,,True,True,0.0011481000110507011,1.0,150.0004173000052,0.00041730000521056354,777983,5186.538904381921,0.22026313149593865,time_limit,True,run_b9ece1fb,ok
2PGA,False,n0100_i04,100,low,2,475.8517694929682,475.1972650401108,480.28427364604727,0.13773321123852628,False,False,False,,,True,True,0.0011580000136746094,1.0,150.00080740000703,0.0008074000070337206,792575,5283.804892372618,0.2121470061323236,time_limit,True,run_b9ece1fb,ok
2PGA,False,n0100_i04,100,low,3,476.14318286989067,475.1972650401108,480.28427364604727,0.199057928016493,False,False,False,,,True,True,0.0018827000021701679,1.0,150.0002788999991,0.00027889999910257757,797680,5317.856778998327,0.24780447574938516,time_limit,True,run_b9ece1fb,ok
2PGA,False,n0100_i04,100,low,4,475.787599574497,475.1972650401108,480.28427364604727,0.12422936279660328,False,False,False,,,True,True,0.0011598999990383163,1.0,150.00034299999243,0.0003429999924264848,793312,5288.734573093877,0.18894823797485258,time_limit,True,run_b9ece1fb,ok
2PGA,False,n0100_i04,100,low,5,476.0153235662004,475.1972650401108,480.28427364604727,0.17215135403200388,False,False,False,,,True,True,0.0011186999909114093,1.0,150.0003302999976,0.0003302999975858256,799419,5329.448264555007,0.2263630527691177,time_limit,True,run_b9ece1fb,ok
ACO,False,n0100_i04,100,low,1,478.280307285873,475.1972650401108,480.28427364604727,0.6487920854304536,False,False,False,,,True,True,0.00882880000062869,5.0,150.00102600000173,0.0010260000017296989,83762,558.4095138122524,0.6492226944616192,time_limit,True,run_b9ece1fb,ok
ACO,False,n0100_i04,100,low,2,477.31458852023667,475.1972650401108,480.28427364604727,0.4455672698257574,False,False,False,,,True,True,0.005057700000179466,3.0,150.0002284000002,0.00022840000019641593,84963,566.4191375324592,0.6201434267247835,time_limit,True,run_b9ece1fb,ok
ACO,False,n0100_i04,100,low,3,477.5655760418414,475.1972650401108,480.28427364604727,0.4983848132060898,False,False,False,,,True,True,0.025848900000710273,14.0,150.00111200000174,0.0011120000017399434,82801,552.0025744875747,0.5817165299474298,time_limit,True,run_b9ece1fb,ok
ACO,False,n0100_i04,100,low,4,478.0738310081887,475.1972650401108,480.28427364604727,0.6053414402195877,False,False,False,,,True,True,0.005524299998796778,3.0,150.00007859999823,7.859999823267572e-05,82974,553.1597101443184,0.6134563898235477,time_limit,True,run_b9ece1fb,ok
ACO,False,n0100_i04,100,low,5,478.2133700492735,475.1972650401108,480.28427364604727,0.6347058855459022,False,False,False,,,True,True,0.020726399998238776,13.0,150.00060529999973,0.0006052999997336883,84428,562.851062041682,0.6364634000445308,time_limit,True,run_b9ece1fb,ok
BRKGA-R-LS,False,n0100_i04,100,low,1,476.0592845354959,475.1972650401108,480.28427364604727,0.1814024530028343,False,False,False,,,True,True,0.0007729000644758344,1.0,150.00046710006427,0.00046710006427019835,459946,3066.297118216127,0.29324687594438986,time_limit,True,run_b9ece1fb,ok
BRKGA-R-LS,False,n0100_i04,100,low,2,476.46806911704255,475.1972650401108,480.28427364604727,0.26742663950822626,False,False,False,,,True,True,0.00044710002839565277,1.0,150.00047950004227,0.0004795000422745943,811104,5407.342714526265,0.3112881218708053,time_limit,True,run_b9ece1fb,ok
BRKGA-R-LS,False,n0100_i04,100,low,3,476.01516560705153,475.1972650401108,480.28427364604727,0.17211811327906365,False,False,False,,,True,True,0.0007687000324949622,1.0,150.00057970010675,0.000579700106754899,453586,3023.8949803183805,0.2561170283123654,time_limit,True,run_b9ece1fb,ok
BRKGA-R-LS,False,n0100_i04,100,low,4,476.1949320413734,475.1972650401108,480.28427364604727,0.20994796785676567,False,False,False,,,True,True,0.0007733999518677592,1.0,150.0003440999426,0.0003440999425947666,454124,3027.486388280717,0.28255796607590966,time_limit,True,run_b9ece1fb,ok
