algorithm,size,runs,instances,arpd,median_rpd,q1_rpd,q3_rpd,iqr_rpd,std_rpd,bks_hits,bks_hit_rate_pct,within_0_1pct_runs,within_0_1pct_rate_pct,median_time_to_0_1pct_s_among_successes,not_reached_0_1pct_runs,median_evaluations_to_0_1pct_among_successes,within_1pct_runs,within_1pct_rate_pct,median_time_to_1pct_s_among_successes,not_reached_1pct_runs,median_evaluations_to_1pct_among_successes,median_solution_count,median_solutions_per_second,median_auc_rpd_time
GA,500,30,6,0.21173119455536665,0.17963507620634633,0.15583631896575667,0.22698434642626628,0.0711480274605096,0.09308168663767326,0,0.0,1,3.3333333333333335,141.3504541000584,29,183522.0,30,100.0,0.0057348000118508935,0,1.0,200174.0,1334.4889451795557,0.2902990414932639
HPSO,20,30,6,0.31602026618594775,0.2409135941007145,0.07164858966593442,0.36176324826379763,0.29011465859786323,0.37766415854460433,6,20.0,8,26.666666666666668,0.0007354999834205955,22,1.0,29,96.66666666666667,0.07065169990528375,1,968.0,1570985.5,10473.197654762993,0.30013195295527617
HPSO,50,30,6,0.36945841712626,0.2808162997751248,0.2245228385096949,0.4846754335939055,0.2601525950842106,0.2009528707069813,0,0.0,1,3.3333333333333335,29.01450930000283,29,115007.0,30,100.0,0.16152720007812604,0,823.0,774017.0,5160.1010457511475,0.30861397022949294
HPSO,100,30,6,0.1949956874863708,0.17152458553650493,0.13217537102057367,0.23130495758753666,0.099129586566963,0.10073874288975786,0,0.0,4,13.333333333333334,17.941443800053094,26,55095.0,30,100.0,0.14550840004812926,0,345.5,449673.5,2997.812790148668,0.18823269912176904
HPSO,200,30,6,0.08478836351274104,0.07153698667219291,0.01600210685596214,0.13731207764230266,0.12130997078634052,0.07331711648931476,6,20.0,18,60.0,46.45918415003689,12,74127.5,30,100.0,0.14421325002331287,0,194.0,271317.0,1808.7620409232045,0.14653983010796565
HPSO,500,30,6,0.048532747682392845,0.04903181266301022,0.015117214551778304,0.07675116607114214,0.061633951519363836,0.037398871136203674,6,20.0,26,86.66666666666667,71.26604304998182,4,84503.0,30,100.0,0.006802649993915111,0,1.0,178126.5,1187.5025104638257,0.13929329010268257
TS,20,30,6,0.0010309218092875792,0.0,0.0,0.0,0.0,0.005646591299708461,29,96.66666666666667,30,100.0,11.716074600000866,0,182136.5,30,100.0,0.0588640000205487,0,1519.0,2854807.0,19031.794238190792,0.02311707576834763
TS,50,30,6,0.03884425669314398,0.02585462168242738,0.004297368019984916,0.06391524514832787,0.05961787712834296,0.03973058872812579,6,20.0,27,90.0,27.477587300003506,3,188136.0,30,100.0,0.14329349994659424,0,1157.5,1178641.0,7857.569756998288,0.07918106794646664
TS,100,30,6,0.07794197083053706,0.06391526079452645,0.03736789181630024,0.11195485768350696,0.07458696586720673,0.06327697253436294,5,16.666666666666664,21,70.0,25.721114699961618,9,87324.0,30,100.0,0.1459940000786446,0,670.0,603521.0,4023.46206137836,0.10613135827494763
TS,200,30,6,0.10751446254465795,0.08064064311870595,0.05294339545806522,0.14952654878290988,0.09658315332484466,0.07949273645827651,0,0.0,18,60.0,38.390860399988014,12,73780.5,30,100.0,0.3364605500246398,0,799.0,332995.0,2219.961604206299,0.156968332850335
TS,500,30,6,0.09028417373404443,0.0644819108487388,0.032742414998482336,0.14332389482324373,0.1105814798247614,0.07604247553631757,0,0.0,20,66.66666666666666,67.64579320006305,10,85880.5,30,100.0,0.0007874000002630055,0,1.0,204676.5,1364.5040975408751,0.16101194847385414
