algorithm,instance_id,size,power_pressure_class,repetition,checkpoint_s,best_result_time_s,solution_count,makespan,rpd,has_solution,hit_bks,within_0_1pct,within_1pct,beats_or_ties_naive,strictly_beats_naive
ACO,n0020_i01,20,medium,5,150.0,118.12481590000061,755495,75.59337923678467,0.8696356023845377,True,False,False,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,1,1.0,0.9481079999823123,30502,75.527359758301,0.7815411051608114,True,False,False,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,1,5.0,2.1116528999991715,67484,75.48674087951373,0.7273404391340217,True,False,False,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,1,15.0,6.416493600001559,203271,75.45976051728223,0.6913386181519635,True,False,False,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,1,30.0,6.416493600001559,203271,75.45976051728223,0.6913386181519635,True,False,False,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,1,60.0,59.10693080001511,1764890,75.0134293341527,0.09576709780446521,True,False,True,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,1,120.0,61.11613219999708,1827527,75.01134584091797,0.09298694423163034,True,False,True,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,1,150.0,61.11613219999708,1827527,75.01134584091797,0.09298694423163034,True,False,True,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,2,1.0,0.8628528999979608,26991,75.1663098286903,0.29976644180013373,True,False,False,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,2,5.0,0.8628528999979608,26991,75.1663098286903,0.29976644180013373,True,False,False,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,2,15.0,14.424348899978213,342123,75.1488714082603,0.27649711408897076,True,False,False,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,2,30.0,14.424348899978213,342123,75.1488714082603,0.27649711408897076,True,False,False,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,2,60.0,47.36161229998106,1345673,74.99476368473829,0.0708601909599329,True,False,True,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,2,120.0,47.36161229998106,1345673,74.99476368473829,0.0708601909599329,True,False,True,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,2,150.0,47.36161229998106,1345673,74.99476368473829,0.0708601909599329,True,False,True,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,3,1.0,0.10191169998142868,3665,75.47056630295438,0.7057575484095034,True,False,False,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,3,5.0,2.7240561000071466,89524,75.31183446162704,0.4939503352006402,True,False,False,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,3,15.0,2.7240561000071466,89524,75.31183446162704,0.4939503352006402,True,False,False,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,3,30.0,2.7240561000071466,89524,75.31183446162704,0.4939503352006402,True,False,False,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,3,60.0,54.77413560001878,1659752,74.96195093268737,0.027075796401782776,True,False,True,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,3,120.0,54.77413560001878,1659752,74.96195093268737,0.027075796401782776,True,False,True,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,3,150.0,54.77413560001878,1659752,74.96195093268737,0.027075796401782776,True,False,True,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,4,1.0,0.4142279999796301,8246,75.73211404476017,1.0547593482356206,True,False,False,False,True,True
BRKGA-R-LS,n0020_i01,20,medium,4,5.0,0.4142279999796301,8246,75.73211404476017,1.0547593482356206,True,False,False,False,True,True
BRKGA-R-LS,n0020_i01,20,medium,4,15.0,5.864552599960007,32409,75.15133217650418,0.2797806926056083,True,False,False,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,4,30.0,16.25873010000214,231186,75.12996448141965,0.2512682535719114,True,False,False,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,4,60.0,16.25873010000214,231186,75.12996448141965,0.2512682535719114,True,False,False,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,4,120.0,16.25873010000214,231186,75.12996448141965,0.2512682535719114,True,False,False,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,4,150.0,16.25873010000214,231186,75.12996448141965,0.2512682535719114,True,False,False,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,5,1.0,0.4274022000026889,8480,75.67390485513663,0.9770866762990367,True,False,False,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,5,5.0,0.4274022000026889,8480,75.67390485513663,0.9770866762990367,True,False,False,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,5,15.0,14.146524899988435,210136,75.14883709182352,0.2764513232206657,True,False,False,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,5,30.0,22.094612299988512,385213,75.12996448141965,0.2512682535719114,True,False,False,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,5,60.0,22.094612299988512,385213,75.12996448141965,0.2512682535719114,True,False,False,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,5,120.0,22.094612299988512,385213,75.12996448141965,0.2512682535719114,True,False,False,True,True,True
BRKGA-R-LS,n0020_i01,20,medium,5,150.0,22.094612299988512,385213,75.12996448141965,0.2512682535719114,True,False,False,True,True,True
GA,n0020_i01,20,medium,1,1.0,0.3407080000033602,10331,75.5000482554529,0.7450974196442167,True,False,False,True,True,True
GA,n0020_i01,20,medium,1,5.0,0.3407080000033602,10331,75.5000482554529,0.7450974196442167,True,False,False,True,True,True
GA,n0020_i01,20,medium,1,15.0,0.3407080000033602,10331,75.5000482554529,0.7450974196442167,True,False,False,True,True,True
GA,n0020_i01,20,medium,1,30.0,0.3407080000033602,10331,75.5000482554529,0.7450974196442167,True,False,False,True,True,True
GA,n0020_i01,20,medium,1,60.0,0.3407080000033602,10331,75.5000482554529,0.7450974196442167,True,False,False,True,True,True
GA,n0020_i01,20,medium,1,120.0,0.3407080000033602,10331,75.5000482554529,0.7450974196442167,True,False,False,True,True,True
GA,n0020_i01,20,medium,1,150.0,0.3407080000033602,10331,75.5000482554529,0.7450974196442167,True,False,False,True,True,True
GA,n0020_i01,20,medium,2,1.0,0.2270645000389777,6111,75.8837917247088,1.2571536909664822,True,False,False,False,True,True
GA,n0020_i01,20,medium,2,5.0,0.2270645000389777,6111,75.8837917247088,1.2571536909664822,True,False,False,False,True,True
GA,n0020_i01,20,medium,2,15.0,0.2270645000389777,6111,75.8837917247088,1.2571536909664822,True,False,False,False,True,True
GA,n0020_i01,20,medium,2,30.0,0.2270645000389777,6111,75.8837917247088,1.2571536909664822,True,False,False,False,True,True
GA,n0020_i01,20,medium,2,60.0,0.2270645000389777,6111,75.8837917247088,1.2571536909664822,True,False,False,False,True,True
GA,n0020_i01,20,medium,2,120.0,0.2270645000389777,6111,75.8837917247088,1.2571536909664822,True,False,False,False,True,True
GA,n0020_i01,20,medium,2,150.0,0.2270645000389777,6111,75.8837917247088,1.2571536909664822,True,False,False,False,True,True
GA,n0020_i01,20,medium,3,1.0,0.39455259998794645,7517,75.85502660912644,1.218770346338317,True,False,False,False,True,True
GA,n0020_i01,20,medium,3,5.0,0.39455259998794645,7517,75.85502660912644,1.218770346338317,True,False,False,False,True,True
GA,n0020_i01,20,medium,3,15.0,0.39455259998794645,7517,75.85502660912644,1.218770346338317,True,False,False,False,True,True
GA,n0020_i01,20,medium,3,30.0,0.39455259998794645,7517,75.85502660912644,1.218770346338317,True,False,False,False,True,True
GA,n0020_i01,20,medium,3,60.0,0.39455259998794645,7517,75.85502660912644,1.218770346338317,True,False,False,False,True,True
GA,n0020_i01,20,medium,3,120.0,0.39455259998794645,7517,75.85502660912644,1.218770346338317,True,False,False,False,True,True
GA,n0020_i01,20,medium,3,150.0,0.39455259998794645,7517,75.85502660912644,1.218770346338317,True,False,False,False,True,True
GA,n0020_i01,20,medium,4,1.0,0.3902032999903895,7226,75.13717798209719,0.260893741836982,True,False,False,True,True,True
GA,n0020_i01,20,medium,4,5.0,0.3902032999903895,7226,75.13717798209719,0.260893741836982,True,False,False,True,True,True
GA,n0020_i01,20,medium,4,15.0,0.3902032999903895,7226,75.13717798209719,0.260893741836982,True,False,False,True,True,True
GA,n0020_i01,20,medium,4,30.0,0.3902032999903895,7226,75.13717798209719,0.260893741836982,True,False,False,True,True,True
GA,n0020_i01,20,medium,4,60.0,0.3902032999903895,7226,75.13717798209719,0.260893741836982,True,False,False,True,True,True
GA,n0020_i01,20,medium,4,120.0,0.3902032999903895,7226,75.13717798209719,0.260893741836982,True,False,False,True,True,True
GA,n0020_i01,20,medium,4,150.0,0.3902032999903895,7226,75.13717798209719,0.260893741836982,True,False,False,True,True,True
GA,n0020_i01,20,medium,5,1.0,0.1494925000006333,2729,75.87946996246778,1.2513868554735708,True,False,False,False,True,True
GA,n0020_i01,20,medium,5,5.0,0.1494925000006333,2729,75.87946996246778,1.2513868554735708,True,False,False,False,True,True
GA,n0020_i01,20,medium,5,15.0,0.1494925000006333,2729,75.87946996246778,1.2513868554735708,True,False,False,False,True,True
GA,n0020_i01,20,medium,5,30.0,0.1494925000006333,2729,75.87946996246778,1.2513868554735708,True,False,False,False,True,True
