algorithm,size,power_pressure_class,runs,instances,arpd,median_rpd,q1_rpd,q3_rpd,iqr_rpd,std_rpd,bks_hits,bks_hit_rate_pct,within_0_1pct_runs,within_0_1pct_rate_pct,median_time_to_0_1pct_s_among_successes,not_reached_0_1pct_runs,median_evaluations_to_0_1pct_among_successes,within_1pct_runs,within_1pct_rate_pct,median_time_to_1pct_s_among_successes,not_reached_1pct_runs,median_evaluations_to_1pct_among_successes,median_solution_count,median_solutions_per_second,median_auc_rpd_time
2PGA,200,low,10,2,0.16603731155499568,0.15853539960266255,0.11676623755456217,0.20297064745563106,0.0862044099010689,0.05423401772756343,0,0.0,0,0.0,,10,,10,100.0,0.0022428500014939345,0,1.0,370668.5,2471.1195680133287,0.26260787525484636
2PGA,200,medium,10,2,0.24754927068327331,0.24108311217470269,0.2281000262341536,0.2665829032916439,0.03848287705749032,0.046663003179307536,0,0.0,0,0.0,,10,,10,100.0,1.383808799997496,0,5170.5,516989.0,3446.5827358035326,0.34490664415031025
2PGA,500,high,10,2,0.6381943568856568,0.6406336265887987,0.4172949123559682,0.8652807894839099,0.44798587712794163,0.24379436105113184,0,0.0,0,0.0,,10,,10,100.0,37.84594564999861,0,36364.5,135441.0,902.9374140901496,0.8515839366531806
2PGA,500,low,10,2,0.25960248397085445,0.2591987269734112,0.24220651087158868,0.27229723933925015,0.030090728467661476,0.02493852132297531,0,0.0,0,0.0,,10,,10,100.0,0.007952650004881434,0,1.0,120024.5,800.1566750647958,0.3477475914578416
2PGA,500,medium,10,2,0.3315309125118841,0.3218343940664562,0.26349593204473043,0.39948545101997956,0.13598951897524914,0.08129131793821144,0,0.0,0,0.0,,10,,10,100.0,0.00995080000575399,0,1.0,112417.5,749.4465261559047,0.4276336064523032
ACO,20,high,10,2,1.1023024754142547,0.9861286590561419,0.7008144096886577,1.5004930753198802,0.7996786656312225,0.5247245494935195,0,0.0,0,0.0,,10,,5,50.0,19.611971799999083,5,130021.0,991648.5,6610.953382285374,1.214995840198271
ACO,20,low,10,2,0.2118342637028805,0.1723874563200445,0.0,0.4399783580583281,0.4399783580583281,0.22646224340504043,5,50.0,5,50.0,0.00020369999947433826,5,1.0,10,100.0,0.6668104000000312,0,8244.0,1520802.5,10138.632852465742,0.17942118208436106
ACO,20,medium,10,2,0.7641683778857196,0.7678386126883523,0.6547971037425897,0.9367270176131578,0.2819299138705681,0.22925841176027612,0,0.0,0,0.0,,10,,9,90.0,89.63971610000044,1,570260.0,1440080.0,9600.490287056757,1.0056455171040142
ACO,50,high,10,2,0.9173287274462902,0.9325897357524793,0.8001875459624836,1.0330351668323374,0.23284762086985378,0.12877134022695982,0,0.0,0,0.0,,10,,7,70.0,38.12514220000048,3,72150.0,281526.0,1876.8354406522803,1.0720125046855347
ACO,50,low,10,2,0.8790814296440782,0.8564698113716935,0.8348224293865595,0.9001973647068794,0.0653749353203199,0.07468225777698434,0,0.0,0,0.0,,10,,9,90.0,4.616359300001932,1,12429.0,375877.0,2505.8423828294017,0.926258563161962
ACO,50,medium,10,2,0.7129250645253072,0.7473373877698528,0.6742399277171351,0.7526828618401906,0.07844293412305547,0.07551233193197956,0,0.0,0,0.0,,10,,10,100.0,2.4575254000001223,0,5156.0,271016.5,1806.7708851960474,0.7578856108633729
ACO,100,high,10,2,1.2101293228452445,1.2056910852896308,1.1406086492135687,1.2884405296318833,0.14783188041831452,0.0929044170804644,0,0.0,0,0.0,,10,,0,0.0,,10,,88262.5,588.4144808392604,1.2861571928868272
ACO,100,low,10,2,0.7132046617307861,0.6882374575049035,0.6126825515511664,0.8284006009932158,0.21571804944204942,0.180752594002171,0,0.0,0,0.0,,10,,9,90.0,0.025848900000710273,1,14.0,85275.0,568.498436740003,0.7048396073799482
ACO,100,medium,10,2,0.7890228467040925,0.7967430671677983,0.7569593376214372,0.8279150370922578,0.07095569947082059,0.059344916236351714,0,0.0,0,0.0,,10,,10,100.0,8.157621600001221,0,4844.5,88552.5,590.3471193629682,0.8739100152351102
ACO,200,high,10,2,1.1299966694076962,1.135865663585776,1.1246203714168306,1.1398471703158117,0.015226798898981153,0.03001834519769349,0,0.0,0,0.0,,10,,0,0.0,,10,,48201.5,321.34038885511995,1.2188146848445354
ACO,200,low,10,2,0.7374281476171158,0.727952877836151,0.6997612859507977,0.7585450091241172,0.05878372317331948,0.0444946776274223,0,0.0,0,0.0,,10,,10,100.0,0.007384849999652943,0,2.5,46792.0,311.9429686696218,0.730275980818385
ACO,200,medium,10,2,0.9327939954123876,0.8708389112670829,0.7820289861246184,1.0883937105915251,0.30636472446690677,0.1715259539367015,0,0.0,0,0.0,,10,,6,60.0,0.19512264999866602,4,38.0,36949.5,246.32562891454597,0.9770382281482597
ACO,500,high,10,2,1.3852770632410416,1.3783149291235264,0.9415474299728487,1.8297066197122103,0.8881591897393616,0.46794349489183784,0,0.0,0,0.0,,10,,5,50.0,3.4897497999991174,5,211.0,8347.5,55.64738708165221,1.426481541339626
ACO,500,low,10,2,0.6309517599763402,0.6338304877064423,0.6278585766504441,0.637199971602313,0.00934139495186892,0.010774053494908979,0,0.0,0,0.0,,10,,10,100.0,0.018348299998251605,0,1.0,8316.0,55.4380302518712,0.6381505109239604
ACO,500,medium,10,2,0.8042211112748424,0.7984487506270572,0.6657955837083618,0.9594126537668934,0.29361707005853166,0.16027805683817234,0,0.0,0,0.0,,10,,10,100.0,1.6498155999997834,0,101.5,8335.0,55.56523543065343,0.8065657327924716
BRKGA-R-LS,20,high,10,2,0.10431830200731644,0.10882367206889886,0.0706081229332835,0.12223944757168036,0.051631324638396855,0.050125087681152224,0,0.0,3,30.0,23.471713999984786,7,402297.0,10,100.0,0.1374843000085093,0,3025.0,3045493.0,20302.9319760137,0.15925110383204516
BRKGA-R-LS,20,low,10,2,0.0917173522439737,0.08110588686753702,0.0,0.16913457083319697,0.16913457083319697,0.09882296718718772,5,50.0,5,50.0,0.0001894999877549708,5,1.0,10,100.0,0.08259805000852793,0,1677.5,2647558.0,17650.127393755436,0.09064279603677461
BRKGA-R-LS,20,medium,10,2,0.11895524911048035,0.08522933805964486,0.03802189504132031,0.21169792623684114,0.17367603119552083,0.11534317457883174,2,20.0,7,70.0,46.12013960001059,3,1345583.0,10,100.0,0.17704205002519302,0,4332.5,3166748.0,21111.292965595927,0.22593879767433678
BRKGA-R-LS,50,high,10,2,0.3525263047422049,0.3783046110931416,0.25664867318542595,0.4082576001209689,0.15160892693554295,0.10492370804936468,0,0.0,0,0.0,,10,,10,100.0,1.143012650019955,0,11029.0,1276322.5,8508.752756644235,0.46086774531681574
BRKGA-R-LS,50,low,10,2,0.17505078174524583,0.1756277335699491,0.13159121839288637,0.219246341744481,0.08765512335159462,0.08019563176273047,0,0.0,2,20.0,42.50872234994313,8,247229.5,10,100.0,2.0449152500368655,0,15129.5,949066.0,6327.070339383178,0.26774747730318066
BRKGA-R-LS,50,medium,10,2,0.35824576486507087,0.3530675755421412,0.267791280563488,0.4402724713036955,0.1724811907402075,0.09643279591957296,0,0.0,0,0.0,,10,,10,100.0,0.8406089499476366,0,7033.5,1123898.5,7492.605217169918,0.38251537524640083
BRKGA-R-LS,100,high,10,2,0.4485904435670916,0.4447032880103512,0.40380484284274215,0.4878559066503587,0.08405106380761657,0.08671552006312486,0,0.0,0,0.0,,10,,10,100.0,9.672272900003009,0,41061.5,650316.5,4335.421435923513,0.5843127282215539
BRKGA-R-LS,100,low,10,2,0.2602653771352832,0.2710469468885341,0.18853883171631713,0.3123628418684735,0.12382401015215638,0.08198632209142559,0,0.0,0,0.0,,10,,10,100.0,2.93832294997992,0,17859.0,462677.5,3084.504112915549,0.35027715275343646
BRKGA-R-LS,100,medium,10,2,0.3351017225468798,0.32489202657811966,0.2905675630115059,0.38274635415031255,0.09217879113880667,0.07288982217434731,0,0.0,0,0.0,,10,,10,100.0,4.129548249940854,0,17617.5,566312.0,3775.395361225407,0.39121741281759204
BRKGA-R-LS,200,high,10,2,0.4338580080874597,0.4139120631045887,0.4056474937576403,0.4465646487971402,0.040917155039499886,0.04146574770803696,0,0.0,0,0.0,,10,,10,100.0,31.32799449999584,0,70529.5,344786.0,2298.5663056150524,0.7310329085674296
BRKGA-R-LS,200,low,10,2,0.4589705901785767,0.4624880459238727,0.35958377943604797,0.5480245346381656,0.18844075520211762,0.10280152979067499,0,0.0,0,0.0,,10,,10,100.0,0.0016061000060290098,0,1.0,225672.0,1504.4709678161444,0.6317037454715915
BRKGA-R-LS,200,medium,10,2,0.4057559183558281,0.3851941352545236,0.34500617144546486,0.4749667697565798,0.12996059831111495,0.08538531368034796,0,0.0,0,0.0,,10,,10,100.0,10.515025550033897,0,36927.5,327792.0,2185.2740302939055,0.57679813544981
BRKGA-R-LS,500,high,10,2,1.1908088076318868,1.191083008641653,0.771777824327112,1.6096295242450922,0.8378516999179803,0.4415376554643849,0,0.0,0,0.0,,10,,5,50.0,0.0020007999846711755,5,1.0,251328.0,1675.51282564559,1.3091387203541598
BRKGA-R-LS,500,low,10,2,0.4948531301428553,0.4948138283506956,0.48683326941928673,0.5028896204290283,0.016056351009741565,0.00850091233878812,0,0.0,0,0.0,,10,,10,100.0,0.0021165500511415303,0,1.0,189093.5,1260.6187677473067,0.530773262744678
BRKGA-R-LS,500,medium,10,2,0.6541593958228098,0.6540740428430365,0.5257862186320589,0.782361867054014,0.2565756484219551,0.13531731596355928,0,0.0,0,0.0,,10,,10,100.0,0.0020397500484250486,0,1.0,206416.0,1376.0986083175937,0.695763833182107
GA,20,high,10,2,0.5690620775102715,0.3915819824643919,0.3208471282999819,0.4169688717655582,0.09612174346557628,0.6817069473344416,0,0.0,0,0.0,,10,,9,90.0,0.06749209994450212,1,1408.0,3028841.0,20191.77556514655,0.4079282681763259
GA,20,low,10,2,0.15514635083449346,0.096014177988974,0.0,0.28718645501461815,0.28718645501461815,0.1770511394413682,5,50.0,5,50.0,0.00040259998058900237,5,1.0,10,100.0,0.03124089998891577,0,590.5,2545478.5,16969.558323988433,0.09691001226264934
GA,20,medium,10,2,0.7130379574713064,0.634343778501048,0.3868903735630307,1.1003521146647919,0.7134617411017612,0.4042638875331207,0,0.0,0,0.0,,10,,7,70.0,0.14170589996501803,3,2808.0,2691447.5,17942.665354055294,0.6360798864036281
GA,50,high,10,2,0.42790333413098514,0.3696712384561036,0.30090412584598525,0.5562700019548604,0.2553658761088752,0.17149144169534436,0,0.0,0,0.0,,10,,10,100.0,0.34799899999052286,0,3122.5,1303168.0,8687.715711136552,0.4133923100999673
GA,50,low,10,2,0.20817081302715607,0.18326661806182457,0.11492639354675957,0.28501682859350136,0.1700904350467418,0.12825418260315616,0,0.0,2,20.0,2.8481411000248045,8,18126.0,10,100.0,0.36831919994438067,0,2532.5,960188.5,6401.210867595417,0.25749996149572096
GA,50,medium,10,2,0.26365687809279975,0.28005538084710613,0.21301596085679972,0.2912148107387199,0.07819884988192019,0.06085198847386931,0,0.0,0,0.0,,10,,10,100.0,0.13207914994563907,0,1045.5,1135624.5,7570.769681070384,0.28590553286334675
GA,100,high,10,2,0.24188357322997317,0.21060409113767803,0.16134041353584108,0.32143897053575715,0.16009855699991607,0.15036143269628588,1,10.0,1,10.0,36.75662890006788,9,168973.0,10,100.0,1.3744234999758191,0,6215.5,672694.0,4484.599269274764,0.2833345646513787
GA,100,low,10,2,0.09902528926781898,0.10830723381912094,0.06460012934583152,0.11475141241996833,0.05015128307413681,0.045744248747187605,0,0.0,4,40.0,39.83276770001976,6,115072.5,10,100.0,0.08279725001193583,0,458.5,466873.5,3112.479507170575,0.14825600014998758
GA,100,medium,10,2,0.17339999151019198,0.16016724188499826,0.10357898878709056,0.19562270963511402,0.09204372084802347,0.10841696838757131,0,0.0,2,20.0,41.02655779995257,8,207652.5,10,100.0,0.3474571499391459,0,1518.5,581359.0,3875.7102332778422,0.20533877816265306
GA,200,high,10,2,0.21964286178736642,0.19780746374938415,0.12586059848284553,0.3146266736556782,0.18876607517283267,0.11035136469844184,0,0.0,1,10.0,137.85554050002247,9,303971.0,10,100.0,1.9925218499847688,0,4436.5,340460.5,2269.7300434375557,0.3252737213184611
GA,200,low,10,2,0.175687283589057,0.1647002541430499,0.09951627065343385,0.253214146125487,0.15369787547205313,0.09405282541000877,0,0.0,3,30.0,119.98311210004613,7,169795.0,10,100.0,0.0038759500021114945,0,1.0,217113.0,1447.4129092012745,0.24512622494577807
