variant,instance_id,repetition,size,power_pressure_class,ga_rpd,variant_rpd,rpd_improvement_over_ga,outcome,ga_reached_0_1pct,variant_reached_0_1pct,ga_time_to_0_1pct_s,variant_time_to_0_1pct_s,ga_evaluations_to_0_1pct,variant_evaluations_to_0_1pct,ga_reached_1pct,variant_reached_1pct,ga_time_to_1pct_s,variant_time_to_1pct_s,ga_evaluations_to_1pct,variant_evaluations_to_1pct
2PGA,n0200_i02,3,200,high,0.40256233859994134,0.2400659753521793,0.16249636324776204,variant_win,False,False,,,,,True,True,2.195116800023243,3.336104600006365,5164.0,13439.0
2PGA,n0200_i02,4,200,high,0.2529932384174655,0.2571356868840789,-0.00414244846661338,ga_win,False,False,,,,,True,True,1.805577400024049,5.492841800005408,4308.0,22021.0
2PGA,n0200_i02,5,200,high,0.19103677265538388,0.3506745548791809,-0.15963778222379704,ga_win,False,False,,,,,True,True,1.0569962000008672,5.96144749999803,4118.0,24102.0
2PGA,n0200_i03,1,200,low,0.1028812746685959,0.23555300938277754,-0.13267173471418164,ga_win,False,False,,,,,True,True,0.0036712000146508217,0.0025102000072365627,1.0,1.0
2PGA,n0200_i03,2,200,low,0.06749846451597043,0.10810824862892178,-0.04060978411295135,ga_win,True,False,109.36385500000324,,169795.0,,True,True,0.00377059995662421,0.0021932000090600923,1.0,1.0
2PGA,n0200_i03,3,200,low,0.09839460264837983,0.10989626988640025,-0.011501667238020416,ga_win,True,False,145.01327919994947,,221056.0,,True,True,0.0038563000271096826,0.0022096000029705465,1.0,1.0
2PGA,n0200_i03,4,200,low,0.13693817798706767,0.1373761405590479,-0.00043796257198022714,ga_win,False,False,,,,,True,True,0.004135799943469465,0.0025381000014021993,1.0,1.0
2PGA,n0200_i03,5,200,low,0.20210376217657422,0.10112959438113027,0.10097416779544395,variant_win,False,False,,,,,True,True,0.0037516000447794795,0.002253100014058873,1.0,1.0
2PGA,n0200_i04,1,200,low,0.27025094077512457,0.25151646379567705,0.018734476979447523,variant_win,False,False,,,,,True,True,0.0038302000612020493,0.0022396999993361533,1.0,1.0
2PGA,n0200_i04,2,200,low,0.2857452605445924,0.14603045282836502,0.1397148077162274,variant_win,False,False,,,,,True,True,0.004404000006616116,0.002239599998574704,1.0,1.0
2PGA,n0200_i04,3,200,low,0.3265655311226439,0.17104034637696006,0.15552518474568386,variant_win,False,False,,,,,True,True,0.004293399979360402,0.00222609999764245,1.0,1.0
2PGA,n0200_i04,4,200,low,0.19246233029903215,0.19364258965475364,-0.0011802593557214969,ga_win,False,False,,,,,True,True,0.00423289998434484,0.002246000003651716,1.0,1.0
2PGA,n0200_i04,5,200,low,0.07403249115258921,0.20608000005592353,-0.13204750890333433,ga_win,True,False,119.98311210004613,,159667.0,,True,True,0.0038955999771133065,0.0022489999973913655,1.0,1.0
2PGA,n0200_i05,1,200,high,0.11054510680689314,0.3319824771015049,-0.22143737029461177,ga_win,False,False,,,,,True,True,1.8284679000498727,3.538594600002398,4139.0,13294.0
2PGA,n0200_i05,2,200,high,0.08466377070061228,0.2923561478577622,-0.20769237715714994,ga_win,True,False,137.85554050002247,,303971.0,,True,True,2.784014999982901,2.613481899999897,2921.0,9837.0
2PGA,n0200_i05,3,200,high,0.3403123736797796,0.32851387512876457,0.011798498551015058,variant_win,False,False,,,,,True,True,5.949922199943103,4.089898999998695,4718.0,15413.0
2PGA,n0200_i05,4,200,high,0.3351711520684158,0.27303433488221723,0.06213681718619857,variant_win,False,False,,,,,True,True,2.3931287999730557,2.6666837000084342,5568.0,10246.0
2PGA,n0200_i05,5,200,high,0.10275863659108533,0.2935727050840073,-0.19081406849292196,ga_win,False,False,,,,,True,True,1.989258800051175,2.704954499989981,4565.0,10103.0
2PGA,n0200_i06,1,200,medium,0.3239184868025936,0.30387289695976005,0.020045589842833555,variant_win,False,False,,,,,True,True,1.2560762000503018,4.833330100009334,2819.0,18244.0
2PGA,n0200_i06,2,200,medium,0.22352789965519967,0.33441702399893236,-0.11088912434373269,ga_win,False,False,,,,,True,True,1.9733397999079898,2.7652327999967383,4384.0,10340.0
2PGA,n0200_i06,3,200,medium,0.1414983978384449,0.19700766529792088,-0.055509267459475986,ga_win,False,False,,,,,True,True,1.2217161000007764,4.2890571000025375,2663.0,15815.0
2PGA,n0200_i06,4,200,medium,0.2996909381635626,0.27250245884647833,0.02718847931708429,variant_win,False,False,,,,,True,True,1.8343682000413537,4.395788599998923,4112.0,16261.0
2PGA,n0200_i06,5,200,medium,0.2874839929367944,0.24665258716547067,0.040831405771323714,variant_win,False,False,,,,,True,True,1.5547209000214934,3.553492599996389,3524.0,13236.0
2PGA,n0500_i01,1,500,low,0.15792049049012383,0.22805457177823218,-0.07013408128810836,ga_win,False,False,,,,,True,True,0.006118000019341707,0.00605090000317432,1.0,1.0
2PGA,n0500_i01,2,500,low,0.16842658550284464,0.26164482300952324,-0.0932182375066786,ga_win,False,False,,,,,True,True,0.005738500040024519,0.006080699997255579,1.0,1.0
2PGA,n0500_i01,3,500,low,0.1426153408722582,0.24540021114828092,-0.10278487027602273,ga_win,False,False,,,,,True,True,0.005950899911113083,0.006103599997004494,1.0,1.0
2PGA,n0500_i01,4,500,low,0.24973365569034786,0.23107215330348804,0.01866150238685982,variant_win,False,False,,,,,True,True,0.005783700034953654,0.006025099995895289,1.0,1.0
2PGA,n0500_i01,5,500,low,0.15963382448190266,0.24114194411269127,-0.0815081196307886,ga_win,False,False,,,,,True,True,0.00583320006262511,0.006204600009368733,1.0,1.0
2PGA,n0500_i02,1,500,medium,0.184226984870765,0.3726013729278088,-0.18837438805704382,ga_win,False,False,,,,,True,True,0.005695999949239194,0.01025929999013897,1.0,1.0
2PGA,n0500_i02,2,500,medium,0.1964702407587296,0.4431518808285308,-0.2466816400698012,ga_win,False,False,,,,,True,True,0.005680500064045191,0.01083340001059696,1.0,1.0
2PGA,n0500_i02,3,500,medium,0.2706478545998185,0.4084468103840365,-0.13779895578421802,ga_win,False,False,,,,,True,True,0.005766300018876791,0.01077570000779815,1.0,1.0
2PGA,n0500_i02,4,500,medium,0.1838530867387607,0.34064410519550886,-0.15679101845674817,ga_win,False,False,,,,,True,True,0.005651899962686002,0.009620600001653656,1.0,1.0
