scheduler_name,config,config_id,instance_id,size,makespan,execution_time_s,best_known_makespan,rpd
2PGA,"{'phase1_duration': 5, 'phase2_duration': 25, 'pop_f_ratio': 0.2}",9,2,20,125.6112636257005,0.36835289001464844,119.87520229994017,4.78502744162893
2PGA,"{'phase1_duration': 5, 'phase2_duration': 25, 'pop_f_ratio': 0.2}",9,3,20,170.19359288210617,0.36621832847595215,164.19739149143297,3.651824999294255
2PGA,"{'phase1_duration': 5, 'phase2_duration': 25, 'pop_f_ratio': 0.2}",9,4,50,328.1004430040695,0.9306273460388184,326.0167177219706,0.639146758073895
2PGA,"{'phase1_duration': 5, 'phase2_duration': 25, 'pop_f_ratio': 0.2}",9,5,50,366.408275606738,0.9543044567108154,366.408275606738,0.0
2PGA,"{'phase1_duration': 5, 'phase2_duration': 25, 'pop_f_ratio': 0.2}",9,6,50,391.8280566342792,0.9528079032897949,391.6436471607254,0.04708603724093161
2PGA,"{'phase1_duration': 5, 'phase2_duration': 25, 'pop_f_ratio': 0.2}",9,7,100,772.5070909931579,1.8932640552520752,772.316688642347,0.024653403663416267
2PGA,"{'phase1_duration': 5, 'phase2_duration': 25, 'pop_f_ratio': 0.2}",9,8,100,720.8074961216653,1.8441951274871826,720.8074961216653,0.0
2PGA,"{'phase1_duration': 5, 'phase2_duration': 25, 'pop_f_ratio': 0.2}",9,9,100,745.7776021484732,1.8222205638885498,745.7718161905123,0.0007758348914945377
2PGA,"{'phase1_duration': 15, 'phase2_duration': 5, 'pop_f_ratio': 0.05}",10,1,20,126.34427043681902,1.5069658756256104,125.88789655364162,0.3625240358058791
2PGA,"{'phase1_duration': 15, 'phase2_duration': 5, 'pop_f_ratio': 0.05}",10,2,20,121.08585031049311,1.0954656600952148,119.87520229994017,1.009923643360182
2PGA,"{'phase1_duration': 15, 'phase2_duration': 5, 'pop_f_ratio': 0.05}",10,3,20,165.551391727515,0.9015059471130371,164.19739149143297,0.8246173850774536
2PGA,"{'phase1_duration': 15, 'phase2_duration': 5, 'pop_f_ratio': 0.05}",10,4,50,328.1004430040695,0.9372663497924805,326.0167177219706,0.639146758073895
2PGA,"{'phase1_duration': 15, 'phase2_duration': 5, 'pop_f_ratio': 0.05}",10,5,50,366.408275606738,0.9551165103912354,366.408275606738,0.0
2PGA,"{'phase1_duration': 15, 'phase2_duration': 5, 'pop_f_ratio': 0.05}",10,6,50,391.8280566342792,0.9643471240997314,391.6436471607254,0.04708603724093161
2PGA,"{'phase1_duration': 15, 'phase2_duration': 5, 'pop_f_ratio': 0.05}",10,7,100,772.5070909931579,1.9003469944000244,772.316688642347,0.024653403663416267
2PGA,"{'phase1_duration': 15, 'phase2_duration': 5, 'pop_f_ratio': 0.05}",10,8,100,720.8074961216653,1.8638603687286377,720.8074961216653,0.0
2PGA,"{'phase1_duration': 15, 'phase2_duration': 5, 'pop_f_ratio': 0.05}",10,9,100,745.7776021484732,1.8125169277191162,745.7718161905123,0.0007758348914945377
2PGA,"{'phase1_duration': 15, 'phase2_duration': 5, 'pop_f_ratio': 0.1}",11,1,20,127.64851792646704,0.43612170219421387,125.88789655364162,1.3985628650767075
2PGA,"{'phase1_duration': 15, 'phase2_duration': 5, 'pop_f_ratio': 0.1}",11,2,20,123.45526759181078,0.6981480121612549,119.87520229994017,2.9864936393708152
2PGA,"{'phase1_duration': 15, 'phase2_duration': 5, 'pop_f_ratio': 0.1}",11,3,20,168.4832117496447,0.46059679985046387,164.19739149143297,2.6101634254252795
2PGA,"{'phase1_duration': 15, 'phase2_duration': 5, 'pop_f_ratio': 0.1}",11,4,50,328.1004430040695,0.9335830211639404,326.0167177219706,0.639146758073895
2PGA,"{'phase1_duration': 15, 'phase2_duration': 5, 'pop_f_ratio': 0.1}",11,5,50,366.408275606738,0.9533588886260986,366.408275606738,0.0
2PGA,"{'phase1_duration': 15, 'phase2_duration': 5, 'pop_f_ratio': 0.1}",11,6,50,391.8280566342792,0.9556682109832764,391.6436471607254,0.04708603724093161
2PGA,"{'phase1_duration': 15, 'phase2_duration': 5, 'pop_f_ratio': 0.1}",11,7,100,772.5070909931579,1.8897299766540527,772.316688642347,0.024653403663416267
2PGA,"{'phase1_duration': 15, 'phase2_duration': 5, 'pop_f_ratio': 0.1}",11,8,100,720.8074961216653,1.8632993698120117,720.8074961216653,0.0
2PGA,"{'phase1_duration': 15, 'phase2_duration': 5, 'pop_f_ratio': 0.1}",11,9,100,745.7776021484732,1.8128471374511719,745.7718161905123,0.0007758348914945377
2PGA,"{'phase1_duration': 15, 'phase2_duration': 5, 'pop_f_ratio': 0.2}",12,1,20,128.7128753464889,0.47402477264404297,125.88789655364162,2.2440432084299067
2PGA,"{'phase1_duration': 15, 'phase2_duration': 5, 'pop_f_ratio': 0.2}",12,2,20,125.46821810413884,0.4576442241668701,119.87520229994017,4.665698740765723
2PGA,"{'phase1_duration': 15, 'phase2_duration': 5, 'pop_f_ratio': 0.2}",12,3,20,168.84422798935975,0.5401570796966553,164.19739149143297,2.830030645261033
2PGA,"{'phase1_duration': 15, 'phase2_duration': 5, 'pop_f_ratio': 0.2}",12,4,50,328.1004430040695,0.9253795146942139,326.0167177219706,0.639146758073895
2PGA,"{'phase1_duration': 15, 'phase2_duration': 5, 'pop_f_ratio': 0.2}",12,5,50,366.408275606738,0.951848030090332,366.408275606738,0.0
2PGA,"{'phase1_duration': 15, 'phase2_duration': 5, 'pop_f_ratio': 0.2}",12,6,50,391.8280566342792,0.9633665084838867,391.6436471607254,0.04708603724093161
2PGA,"{'phase1_duration': 15, 'phase2_duration': 5, 'pop_f_ratio': 0.2}",12,7,100,772.5070909931579,1.8950855731964111,772.316688642347,0.024653403663416267
2PGA,"{'phase1_duration': 15, 'phase2_duration': 5, 'pop_f_ratio': 0.2}",12,8,100,720.8074961216653,1.8504128456115723,720.8074961216653,0.0
2PGA,"{'phase1_duration': 15, 'phase2_duration': 5, 'pop_f_ratio': 0.2}",12,9,100,745.7776021484732,1.8241944313049316,745.7718161905123,0.0007758348914945377
2PGA,"{'phase1_duration': 15, 'phase2_duration': 15, 'pop_f_ratio': 0.05}",13,1,20,127.39171048896178,0.38889074325561523,125.88789655364162,1.1945659404034672
2PGA,"{'phase1_duration': 15, 'phase2_duration': 15, 'pop_f_ratio': 0.05}",13,2,20,119.87520229994017,1.3017704486846924,119.87520229994017,0.0
2PGA,"{'phase1_duration': 15, 'phase2_duration': 15, 'pop_f_ratio': 0.05}",13,3,20,167.8797808924446,0.8543186187744141,164.19739149143297,2.242660110226994
2PGA,"{'phase1_duration': 15, 'phase2_duration': 15, 'pop_f_ratio': 0.05}",13,4,50,328.1004430040695,0.9339566230773926,326.0167177219706,0.639146758073895
2PGA,"{'phase1_duration': 15, 'phase2_duration': 15, 'pop_f_ratio': 0.05}",13,5,50,366.408275606738,0.953502893447876,366.408275606738,0.0
2PGA,"{'phase1_duration': 15, 'phase2_duration': 15, 'pop_f_ratio': 0.05}",13,6,50,391.8280566342792,0.9605681896209717,391.6436471607254,0.04708603724093161
2PGA,"{'phase1_duration': 15, 'phase2_duration': 15, 'pop_f_ratio': 0.05}",13,7,100,772.5070909931579,1.884080410003662,772.316688642347,0.024653403663416267
